I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-9, -29, -19, 19, 4, -24, 126, 82, 200, 53, 58, 14, 
-14, -29, -14, 21, 0, -21, 131, 78, 200, 58, 78, 34, 
-24, -43, -19, 34, -2, -31, 141, 92, 204, 63, 78, 34, 
-14, -53, -39, 34, 12, -46, 136, 92, 204, 68, 87, 39, 
-14, -63, -48, 39, 17, -56, 131, 82, 195, 48, 78, 39, 
0, -63, -63, 31, 31, -63, 136, 78, 200, 48, 82, 39, 
4, -73, -78, 34, 41, -75, 131, 73, 209, 29, 68, 24, 
4, -48, -53, 21, 29, -51, 146, 97, 239, 48, 78, 39, 
9, -29, -39, 9, 24, -34, 146, 87, 244, 58, 82, 43, 
-9, -48, -39, 29, 14, -43, 136, 82, 253, 78, 78, 43, 
-43, -58, -14, 51, -14, -36, 131, 68, 253, 107, 92, 58, 
-48, -73, -24, 61, -12, -48, 122, 63, 248, 107, 97, 68, 
-14, -29, -14, 21, 0, -21, 136, 102, 292, 136, 126, 92, 
9, -4, -14, -2, 12, -9, 146, 107, 292, 161, 141, 107, 
-39, -53, -14, 46, -12, -34, 136, 92, 292, 156, 131, 97, 
-29, -39, -9, 34, -9, -24, 131, 92, 297, 156, 136, 92, 
24, 0, -24, -12, 24, -12, 141, 107, 317, 156, 146, 97, 
43, 19, -24, -31, 34, -2, 141, 107, 341, 175, 161, 117, 
53, 19, -34, -36, 43, -7, 136, 97, 351, 175, 161, 122, 
19, -9, -29, -4, 24, -19, 136, 92, 351, 195, 151, 107, 
14, 9, -4, -12, 9, 2, 136, 102, 370, 229, 175, 122, 
19, 14, -4, -17, 12, 4, 131, 102, 375, 248, 204, 141, 
14, 0, -14, -7, 14, -7, 136, 97, 385, 273, 200, 136, 
39, 4, -34, -21, 36, -14, 126, 92, 380, 283, 204, 136, 
34, -14, -48, -9, 41, -31, 126, 102, 405, 292, 214, 141, 
48, 4, -43, -26, 46, -19, 131, 112, 424, 307, 229, 151, 
73, 24, -48, -48, 61, -12, 131, 97, 444, 283, 229, 151, 
73, 24, -48, -48, 61, -12, 117, 102, 458, 253, 239, 156, 
58, 29, -29, -43, 43, 0, 122, 87, 458, 258, 244, 156, 
29, -4, -34, -12, 31, -19, 131, 112, 483, 322, 248, 156, 
19, 9, -9, -14, 14, 0, 126, 112, 497, 331, 263, 175, 
53, 24, -29, -39, 41, -2, 126, 117, 517, 312, 292, 204, 
92, 58, -34, -75, 63, 12, 131, 131, 536, 346, 307, 209, 
53, 43, -9, -48, 31, 17, 126, 112, 541, 366, 307, 219, 
24, 9, -14, -17, 19, -2, 122, 102, 546, 312, 307, 209, 
58, 53, -4, -56, 31, 24, 136, 122, 590, 302, 341, 239, 
63, 53, -9, -58, 36, 21, 131, 117, 605, 356, 356, 253, 
68, 34, -34, -51, 51, 0, 117, 117, 610, 395, 361, 244, 
63, 29, -34, -46, 48, -2, 122, 112, 629, 434, 370, 258, 
53, 19, -34, -36, 43, -7, 117, 107, 639, 488, 380, 263, 
87, 63, -24, -75, 56, 19, 126, 122, 678, 551, 419, 287, 
82, 58, -24, -70, 53, 17, 131, 122, 702, 585, 453, 322, 
19, 24, 4, -21, 7, 14, 126, 102, 697, 575, 444, 312, 
-9, -14, -4, 12, -2, -9, 122, 102, 688, 566, 444, 317, 
-9, -24, -14, 17, 2, -19, 126, 107, 707, 580, 463, 331, 
19, 14, -4, -17, 12, 4, 141, 112, 732, 605, 483, 356, 
58, 78, 19, -68, 19, 48, 146, 131, 775, 668, 522, 390, 
122, 131, 9, -126, 56, 70, 156, 151, 810, 732, 556, 424, 
131, 131, 0, -131, 65, 65, 156, 151, 834, 771, 590, 448, 
87, 97, 9, -92, 39, 53, 151, 146, 839, 800, 600, 448, 
68, 112, 43, -90, 12, 78, 146, 126, 829, 790, 600, 448, 
